feature,action,kept
X1,median_impute,True
X10,median_impute,True
X100,median_impute,True
X101,median_impute,True
X102,median_impute,True
X103,median_impute,True
X104,median_impute,True
X105,median_impute,True
X106,median_impute,True
X107,median_impute+winsorize_1_99,True
X108,median_impute,True
X109,median_impute+winsorize_1_99,True
X11,median_impute,True
X110,median_impute+winsorize_1_99,True
X111,median_impute+winsorize_1_99,True
X112,median_impute+winsorize_1_99,True
X113,median_impute,True
X114,median_impute,True
X115,median_impute,True
X116,median_impute,True
X117,median_impute,True
X118,median_impute,True
X119,median_impute,True
X12,median_impute,True
X120,median_impute+winsorize_1_99,True
X121,median_impute,True
X122,median_impute,True
X123,median_impute,True
X124,median_impute,True
X125,median_impute,True
X126,median_impute,True
X127,median_impute+winsorize_1_99,True
X128,median_impute,True
X129,median_impute,True
X13,median_impute+winsorize_1_99,True
X130,median_impute,True
X131,median_impute,True
X132,median_impute,True
X133,median_impute,True
X134,median_impute,True
X135,median_impute+winsorize_1_99,True
X136,median_impute+winsorize_1_99,True
X137,median_impute+winsorize_1_99,True
X138,median_impute,True
X139,median_impute,True
X14,median_impute,True
X140,median_impute,True
X141,median_impute,True
X142,median_impute,True
X143,median_impute+winsorize_1_99,True
X144,median_impute+winsorize_1_99,True
X145,median_impute,True
X146,median_impute,True
X147,median_impute,True
X148,median_impute,True
X149,median_impute,True
X15,median_impute,True
X150,median_impute,True
X151,median_impute,True
X152,median_impute,True
X153,median_impute,True
X154,median_impute,True
X155,median_impute,True
X156,median_impute,True
X157,median_impute,True
X158,median_impute,True
X159,median_impute,True
X16,median_impute,True
X160,median_impute,True
X161,median_impute+winsorize_1_99,True
X162,median_impute+winsorize_1_99,True
X163,median_impute,True
X164,median_impute,True
X165,median_impute,True
X166,median_impute,True
X167,median_impute+winsorize_1_99,True
X168,median_impute+winsorize_1_99,True
X169,median_impute,True
X17,median_impute,True
X170,median_impute,True
X171,median_impute+winsorize_1_99,True
X172,median_impute+winsorize_1_99,True
X173,median_impute,True
X174,median_impute,True
X175,median_impute,True
X176,median_impute,True
X177,median_impute,True
X178,median_impute,True
X179,median_impute,True
X18,median_impute,True
X180,median_impute+winsorize_1_99,True
X181,median_impute+winsorize_1_99,True
X182,median_impute+winsorize_1_99,True
X183,median_impute+winsorize_1_99,True
X184,median_impute+winsorize_1_99,True
X185,median_impute+winsorize_1_99,True
X186,median_impute+winsorize_1_99,True
X187,median_impute,True
X188,median_impute,True
X189,median_impute,True
X19,median_impute,True
X190,median_impute,True
